Name,Latitude,Longitude
OB01CR01_01,-22.90341353975089,-43.17767241571848
OB01CR01_02,-22.90631054289686,-43.16991337207718
OB01CR01_03,-22.90352646256222,-43.1736883748916
OB01CR01_04,-22.90258558478067,-43.17924410413455
OB01CR01_05,-22.93413085263104,-43.18691049180639
OB01CR01_06,-22.90374371027476,-43.17069655842441
OB01CR01_08,-22.93011600303978,-43.25231239654742
OB01CR01_09,-22.90419544967817,-43.18333856750176
OB01CR01_10,-22.90512090198999,-43.18084061765797
OB01CR01_11,-22.90627627573715,-43.1721781556253
OB01CR01_12,-22.90368078576252,-43.17393778532024
OB01CR01_13,-22.92086309257522,-43.17951349384425
OB01CR01_14,-22.93084090877969,-43.17870064422901
OB01CR01_15,-22.9146140754356,-43.20686159829104
OB01CR01_16,-22.89933581342562,-43.1877525947889
OB01CR01_17,-22.91021599523713,-43.17325455974485
OB01CR01_18,-22.93086063723575,-43.17870121901618
OB01CR01_19,-22.91967774339715,-43.17618128842447
OB01CR01_20,-22.9099366512069,-43.18690519635109
OB01CR01_22,-22.91427557025503,-43.19972420035364
OB01CR02_01,-22.90287057728927,-43.17323572908066
OB01CR03_01,-22.9027182182199,-43.17300096577068
OB01CR03_02,-22.90399737457669,-43.1817275055129
OB01CR03_03,-22.90320530370213,-43.1822355629068
OB01CR03_04,-22.90431716821451,-43.18421725442442
OB02_01,-22.9031649684623,-43.17720674933604
OB02_02,-22.90442737005824,-43.19231668136248
OB02_03,-22.90410977367071,-43.17894858500804
OB02_04,-22.90244955282942,-43.1779890106151
OB02_06,-22.9023396214696,-43.18548320237699
OB02_07,-22.90505383800442,-43.18071710995547
OB02_08,-22.90624964001944,-43.17051335005827
OB02_09,-22.90455179506181,-43.1728997282823
OB02_10,-22.90385353391411,-43.17076151418893
OB02_11,-22.90679987200313,-43.1885400827428
OB02_12,-22.90440560026634,-43.19200489939526
OB02_13,-22.90217414834316,-43.17731324405903
OB02_14,-22.90451499929387,-43.19256872538106
OB02_15,-22.90694538882837,-43.18280861020487
OB02_16,-22.90545924724621,-43.17840243734903
OB02_17,-22.90443044510025,-43.17950990742411
OB03CR01_01,-22.90644647227669,-43.17667904043823
OB03CR01_02,-22.90641731864674,-43.1760621765949
OB03CR01_01,-22.90644346845558,-43.1755578627813
